INFO:root:Blob add op (0, 0, 255)+(0, 255, 0)
INFO:root:Blob add op (0, 0, 255)+(255, 0, 0)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(76,235)+Blob of color(255, 0, 0),size4,location(70,241)
INFO:root:Blob add op Blob of color(0, 0, 255),size1,location(70,234)+Blob of color(255, 0, 0),size3,location(68,237)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(272,279)+Blob of color(0, 255, 0),size7,location(262,273)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(440,388)+Blob of color(255, 0, 0),size6,location(430,382)
INFO:root:Blob add op Blob of color(0, 0, 255),size1,location(439,386)+Blob of color(255, 0, 0),size5,location(434,383)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(352,417)+Blob of color(0, 0, 255),size7,location(341,414)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(341,414)+Blob of color(0, 0, 255),size5,location(352,417)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(352,417)+Blob of color(0, 0, 255),size7,location(341,413)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(341,413)+Blob of color(0, 0, 255),size5,location(352,417)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(351,417)+Blob of color(0, 0, 255),size7,location(341,412)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(341,412)+Blob of color(0, 0, 255),size5,location(351,417)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(350,418)+Blob of color(0, 0, 255),size7,location(342,413)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(342,413)+Blob of color(0, 0, 255),size5,location(350,418)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(350,419)+Blob of color(0, 0, 255),size7,location(342,414)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(342,414)+Blob of color(0, 0, 255),size5,location(350,419)
INFO:root:Blob add op Blob of color(0, 0, 255),size5,location(350,420)+Blob of color(0, 0, 255),size7,location(342,415)
INFO:root:Blob add op Blob of color(0, 0, 255),size7,location(342,415)+Blob of color(0, 0, 255),size5,location(350,420)
